Symbol	Name	Gene Family	Type	RNA-Seq Correlation	RNA-Seq Correlation Self-Rank
MBOAT7	membrane bound O-acyltransferase domain containing 7	Membrane bound O-acyltransferases	landmark		
PRR15L	proline rich 15 like		landmark		
CRELD2	cysteine rich with EGF like domains 2		landmark		
MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like		landmark		
FSD1	fibronectin type III and SPRY domain containing 1	Fibronectin type III domain containing	landmark		
NPDC1	neural proliferation, differentiation and control 1		landmark		
ABCF3	ATP binding cassette subfamily F member 3	ATP binding cassette subfamily F	landmark		
ERO1A	endoplasmic reticulum oxidoreductase 1 alpha		landmark		
TRAK2	trafficking kinesin protein 2		landmark		
COASY	Coenzyme A synthase		landmark		
CHMP4A	charged multivesicular body protein 4A	Charged multivesicular body proteins, ESCRT-III	landmark		
GTPBP8	GTP binding protein 8 (putative)		landmark		
IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon		landmark		
AXIN1	axin 1	Protein phosphatase 1 regulatory subunits	landmark		
FEZ2	fasciculation and elongation protein zeta 2		landmark		
FZD1	frizzled class receptor 1	G protein-coupled receptors, Class F frizzled	landmark		
HS2ST1	heparan sulfate 2-O-sulfotransferase 1	Sulfotransferases, membrane bound	landmark		
MTFR1	mitochondrial fission regulator 1		landmark		
FZD7	frizzled class receptor 7	G protein-coupled receptors, Class F frizzled	landmark		
CDC45	cell division cycle 45		landmark		
TERT	telomerase reverse transcriptase		landmark		
TESK1	testis-specific kinase 1		landmark		
IPO13	importin 13	Importins	landmark		
VGLL4	vestigial like family member 4	Vestigial like family	landmark		
TFDP1	transcription factor Dp-1	Transcription factor Dp family	landmark		
NUP93	nucleoporin 93	Nucleoporins	landmark		
TFAP2A	transcription factor AP-2 alpha		landmark		
HIST2H2BE	histone cluster 2 H2B family member e	Histones	landmark		
TRAM2	translocation associated membrane protein 2	TLC domain containing	landmark		
EDEM1	ER degradation enhancing alpha-mannosidase like protein 1		landmark		
UBE3C	ubiquitin protein ligase E3C		landmark		
TGFB3	transforming growth factor beta 3	Endogenous ligands	landmark		
TGFBR2	transforming growth factor beta receptor 2	Type 2 receptor serine/threonine kinases	landmark		
PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta		landmark		
TIMP2	TIMP metallopeptidase inhibitor 2	Tissue inhibitor of metallopeptidases	landmark		
TIAM1	T-cell lymphoma invasion and metastasis 1	Pleckstrin homology domain containing, Rho guanine nucleotide exchange factors, PDZ domain containing	landmark		
TLE1	transducin like enhancer of split 1	WD repeat domain containing	landmark		
TJP1	tight junction protein 1	Membrane associated guanylate kinases, PDZ domain containing	landmark		
TBC1D31	TBC1 domain family member 31	WD repeat domain containing	landmark		
TLR4	toll like receptor 4	CD molecules, Toll like receptors	landmark		
DNAJC15	DnaJ heat shock protein family (Hsp40) member C15	DNAJ (HSP40) heat shock proteins	landmark		
TICAM1	toll like receptor adaptor molecule 1	TIR domain containing	landmark		
USP6NL	USP6 N-terminal like		landmark		
KIAA0355	KIAA0355		landmark		
CEP57	centrosomal protein 57		landmark		
KIAA0100	KIAA0100		landmark		
HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1		landmark		
ADAM10	ADAM metallopeptidase domain 10	ADAM metallopeptidase domain containing, CD molecules	landmark		
CCP110	centriolar coiled-coil protein 110		landmark		
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	Alcohol dehydrogenases	landmark		
MLEC	malectin	Oligosaccharyltransferase complex subunits	landmark		
TSPAN6	tetraspanin 6	Tetraspanins	landmark		
NCK2	NCK adaptor protein 2	SH2 domain containing	landmark		
DUSP11	dual specificity phosphatase 11	Atypical dual specificity phosphatases	landmark		
DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3		landmark		
PARP1	poly(ADP-ribose) polymerase 1	Zinc fingers, Zinc fingers PARP-type, Poly(ADP-ribose) polymerases	landmark		
TSPAN4	tetraspanin 4	Tetraspanins	landmark		
ADRB2	adrenoceptor beta 2	Adrenoceptors	landmark		
TATDN2	TatD DNase domain containing 2		landmark		
AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase		landmark		
TOP2A	topoisomerase (DNA) II alpha	Topoisomerases	landmark		
TP53BP1	tumor protein p53 binding protein 1	Tudor domain containing	landmark		
TP53	tumor protein p53		landmark		
TP53BP2	tumor protein p53 binding protein 2	Ankyrin repeat domain containing, Protein phosphatase 1 regulatory subunits	landmark		
RAE1	ribonucleic acid export 1	WD repeat domain containing, Nucleoporins	landmark		
TPD52L2	tumor protein D52 like 2		landmark		
TPM1	tropomyosin 1 (alpha)	Tropomyosins	landmark		
WDR61	WD repeat domain 61	WD repeat domain containing, Paf1/RNA polymerase II complex 	landmark		
MRPL19	mitochondrial ribosomal protein L19	Mitochondrial ribosomal proteins	landmark		
SCRN1	secernin 1		landmark		
EFCAB14	EF-hand calcium binding domain 14	EF-hand domain containing	landmark		
KEAP1	kelch like ECH associated protein 1	Kelch like, BTB domain containing	landmark		
MELK	maternal embryonic leucine zipper kinase		landmark		
AKT1	AKT serine/threonine kinase 1	Pleckstrin homology domain containing	landmark		
CYCS	cytochrome c, somatic		landmark		
PLEKHM1	pleckstrin homology and RUN domain containing M1	Pleckstrin homology domain containing	landmark		
ALAS1	5'-aminolevulinate synthase 1		landmark		
PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	SH2 domain containing	landmark		
NIPSNAP1	nipsnap homolog 1		landmark		
HAT1	histone acetyltransferase 1	Lysine acetyltransferases	landmark		
KIAA0753	KIAA0753		landmark		
C2CD2L	C2CD2 like		landmark		
ENOSF1	enolase superfamily member 1		landmark		
ALDOA	aldolase, fructose-bisphosphate A		landmark		
C2CD5	C2 calcium dependent domain containing 5	C2 domain containing	landmark		
TM9SF3	transmembrane 9 superfamily member 3	Transmembrane 9 superfamily members	landmark		
IKBKAP	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	Elongator acetyltransferase complex	landmark		
ALDOC	aldolase, fructose-bisphosphate C		landmark		
TOMM70	translocase of outer mitochondrial membrane 70	Tetratricopeptide repeat domain containing, Translocase of outer mitochondrial membrane complex	landmark		
BHLHE40	basic helix-loop-helix family member e40	Basic helix-loop-helix proteins	landmark		
MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5	Mitogen-activated protein kinase-activated protein kinases	landmark		
WASHC5	WASH complex subunit 5	WASH complex	landmark		
AKR7A2	aldo-keto reductase family 7 member A2	Aldo-keto reductases	landmark		
CASK	calcium/calmodulin dependent serine protein kinase	Trinucleotide repeat containing, Membrane associated guanylate kinases, PDZ domain containing	landmark		
MKNK1	MAP kinase interacting serine/threonine kinase 1	Mitogen-activated protein kinase-activated protein kinases	landmark		
TSTA3	tissue specific transplantation antigen P35B	Short chain dehydrogenase/reductase superfamily	landmark		
SLC25A4	solute carrier family 25 member 4	Solute carriers	landmark		
SLC25A46	solute carrier family 25 member 46	Solute carriers	landmark		
TXNRD1	thioredoxin reductase 1	Selenoproteins	landmark		
CHMP6	charged multivesicular body protein 6	Charged multivesicular body proteins, ESCRT-III	landmark		
IARS2	isoleucyl-tRNA synthetase 2, mitochondrial	Aminoacyl tRNA synthetases, Class I	landmark		
TERF2IP	TERF2 interacting protein	Shelterin complex	landmark		
ACD	ACD, shelterin complex subunit and telomerase recruitment factor	Shelterin complex	landmark		
CARMIL1	capping protein regulator and myosin 1 linker 1		landmark		
ANKRD10	ankyrin repeat domain 10	Ankyrin repeat domain containing	landmark		
DUSP22	dual specificity phosphatase 22	Atypical dual specificity phosphatases	landmark		
KLHL21	kelch like family member 21	Kelch like, BTB domain containing	landmark		
STAP2	signal transducing adaptor family member 2		landmark		
FAM20B	FAM20B, glycosaminoglycan xylosylkinase		landmark		
NCAPD2	non-SMC condensin I complex subunit D2		landmark		
ARNT2	aryl hydrocarbon receptor nuclear translocator 2	Basic helix-loop-helix proteins	landmark		
PAN2	PAN2 poly(A) specific ribonuclease subunit	Ubiquitin specific peptidases, Exonucleases	landmark		
KIF14	kinesin family member 14	Kinesins	landmark		
LPGAT1	lysophosphatidylglycerol acyltransferase 1		landmark		
OXSR1	oxidative stress responsive 1		landmark		
ANXA7	annexin A7	Annexins	landmark		
RUVBL1	RuvB like AAA ATPase 1	AAA ATPases, INO80 complex, DNA helicases, SRCAP complex, R2TP complex	landmark		
APBB2	amyloid beta precursor protein binding family B member 2		landmark		
TCTN1	tectonic family member 1	Tectonic proteins	landmark		
BIRC2	baculoviral IAP repeat containing 2	Ring finger proteins, Baculoviral IAP repeat containing, Caspase recruitment domain containing	landmark		
MVP	major vault protein		landmark		
BIRC5	baculoviral IAP repeat containing 5	Baculoviral IAP repeat containing, Chromosomal passenger complex	landmark		
COQ8A	coenzyme Q8A		landmark		
PSMG1	proteasome assembly chaperone 1		landmark		
APOE	apolipoprotein E	Apolipoproteins	landmark		
APP	amyloid beta precursor protein	Endogenous ligands	landmark		
FAS	Fas cell surface death receptor	CD molecules, Tumor necrosis factor receptor superfamily, Death inducing signaling complex 	landmark		
UBE2A	ubiquitin conjugating enzyme E2 A	Ubiquitin conjugating enzymes E2	landmark		
DMTF1	cyclin D binding myb like transcription factor 1	Myb/SANT domain containing	landmark		
BECN1	beclin 1	Autophagy related	landmark		
RHEB	Ras homolog enriched in brain	RAS type GTPase family	landmark		
UGDH	UDP-glucose 6-dehydrogenase		landmark		
RHOA	ras homolog family member A	Rho family GTPases	landmark		
ARHGAP1	Rho GTPase activating protein 1	Rho GTPase activating proteins, BCH domain containing 	landmark		
NR1H2	nuclear receptor subfamily 1 group H member 2	Nuclear hormone receptors	landmark		
RNH1	ribonuclease/angiogenin inhibitor 1		landmark		
USP1	ubiquitin specific peptidase 1	Ubiquitin specific peptidases	landmark		
PAK6	p21 (RAC1) activated kinase 6		landmark		
INTS3	integrator complex subunit 3	Integrator complex	landmark		
PRR7	proline rich 7, synaptic		landmark		
TMEM110	transmembrane protein 110		landmark		
TSEN2	tRNA splicing endonuclease subunit 2	tRNA-splicing endonuclease subunits	landmark		
TMCO1	transmembrane and coiled-coil domains 1		landmark		
CNDP2	CNDP dipeptidase 2 (metallopeptidase M20 family)		landmark		
NUP133	nucleoporin 133	Minor histocompatibility antigens, Nucleoporins	landmark		
NPEPL1	aminopeptidase-like 1	Aminopeptidases	landmark		
MBTPS1	membrane bound transcription factor peptidase, site 1	Proprotein convertase subtilisin/kexin family	landmark		
ASAH1	N-acylsphingosine amidohydrolase 1		landmark		
RNMT	RNA guanine-7 methyltransferase	Seven-beta-strand methyltransferase motif containing	landmark		
EED	embryonic ectoderm development	WD repeat domain containing, Polycomb repressive complex 2	landmark		
GFOD1	glucose-fructose oxidoreductase domain containing 1		landmark		
CTNNAL1	catenin alpha like 1		landmark		
KCTD5	potassium channel tetramerization domain containing 5		landmark		
VDAC1	voltage dependent anion channel 1	Voltage dependent anion channels	landmark		
MINDY1	MINDY lysine 48 deubiquitinase 1	MINDY deubiquitinases	landmark		
ATF1	activating transcription factor 1	Basic leucine zipper proteins	landmark		
ATP1B1	ATPase Na+/K+ transporting subunit beta 1	ATPase Na+/K+ transporting subunits	landmark		
RPA1	replication protein A1	Nucleotide excision repair	landmark		
RPA3	replication protein A3	Nucleotide excision repair	landmark		
RPA2	replication protein A2	Nucleotide excision repair	landmark		
WFS1	wolframin ER transmembrane glycoprotein		landmark		
WRB	tryptophan rich basic protein		landmark		
XBP1	X-box binding protein 1	Basic leucine zipper proteins	landmark		
MRPL12	mitochondrial ribosomal protein L12	Mitochondrial ribosomal proteins	landmark		
RPN1	ribophorin I	Oligosaccharyltransferase complex subunits	landmark		
RPS5	ribosomal protein S5	S ribosomal proteins	landmark		
RPS6KA1	ribosomal protein S6 kinase A1	Mitogen-activated protein kinase-activated protein kinases	landmark		
RPS6	ribosomal protein S6	S ribosomal proteins	landmark		
FAM69A	family with sequence similarity 69 member A		landmark		
ALDH7A1	aldehyde dehydrogenase 7 family member A1	Aldehyde dehydrogenases	landmark		
EXOSC4	exosome component 4	Exosome complex	landmark		
CISD1	CDGSH iron sulfur domain 1	CDGSH iron sulfur domain containing	landmark		
PEX11A	peroxisomal biogenesis factor 11 alpha	Peroxins	landmark		
CREG1	cellular repressor of E1A stimulated genes 1		landmark		
INPP4B	inositol polyphosphate-4-phosphatase type II B	C2 domain containing, Phosphoinositide phosphatases	landmark		
ATP6V0B	ATPase H+ transporting V0 subunit b	V-type ATPases	landmark		
IQGAP1	IQ motif containing GTPase activating protein 1		landmark		
XPNPEP1	X-prolyl aminopeptidase 1	Aminopeptidases	landmark		
DDIT4	DNA damage inducible transcript 4		landmark		
SOCS2	suppressor of cytokine signaling 2	SH2 domain containing, Suppressors of cytokine signaling	landmark		
CFLAR	CASP8 and FADD like apoptosis regulator	Endogenous ligands, Death effector domain containing, Death inducing signaling complex 	landmark		
CDK5R1	cyclin dependent kinase 5 regulatory subunit 1		landmark		
FAM57A	family with sequence similarity 57 member A	TLC domain containing	landmark		
ZNF395	zinc finger protein 395	Zinc fingers C2H2-type	landmark		
IER3	immediate early response 3		landmark		
BAD	BCL2 associated agonist of cell death	BCL2 homology region 3 (BH3) only	landmark		
ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	Sialyltransferases	landmark		
ZFP36	ZFP36 ring finger protein	Ring finger proteins	landmark		
SLC5A6	solute carrier family 5 member 6	Solute carriers	landmark		
BAX	BCL2 associated X, apoptosis regulator	BCL2 family	landmark		
SQSTM1	sequestosome 1	Zinc fingers ZZ-type	landmark		
CPNE3	copine 3	Copines	landmark		
CCND1	cyclin D1	Cyclins	landmark		
BCL2	BCL2, apoptosis regulator	Protein phosphatase 1 regulatory subunits, BCL2 family	landmark		
RSU1	Ras suppressor protein 1		landmark		
RTN2	reticulon 2		landmark		
S100A4	S100 calcium binding protein A4	S100 calcium binding proteins, EF-hand domain containing	landmark		
S100A13	S100 calcium binding protein A13	S100 calcium binding proteins	landmark		
KDM3A	lysine demethylase 3A	Lysine demethylases	landmark		
PECR	peroxisomal trans-2-enoyl-CoA reductase	Short chain dehydrogenase/reductase superfamily	landmark		
DHX29	DExH-box helicase 29	DEAH-box helicases	landmark		
EAPP	E2F associated phosphoprotein		landmark		
TRAPPC3	trafficking protein particle complex 3	Trafficking protein particle complex	landmark		
RBKS	ribokinase		landmark		
CCNA1	cyclin A1	Cyclins	landmark		
ATP2C1	ATPase secretory pathway Ca2+ transporting 1	ATPases Ca2+ transporting	landmark		
BDH1	3-hydroxybutyrate dehydrogenase 1	Short chain dehydrogenase/reductase superfamily	landmark		
TIMELESS	timeless circadian clock		landmark		
BID	BH3 interacting domain death agonist	Endogenous ligands, BCL2 homology region 3 (BH3) only	landmark		
BLMH	bleomycin hydrolase		landmark		
BLVRA	biliverdin reductase A		landmark		
TCEAL4	transcription elongation factor A like 4	Transcription elongation factor A like family	landmark		
BMP4	bone morphogenetic protein 4	Bone morphogenetic proteins, Endogenous ligands	landmark		
BNIP3	BCL2 interacting protein 3	BCL2 homology region 3 (BH3) only	landmark		
BNIP3L	BCL2 interacting protein 3 like		landmark		
DHDDS	dehydrodolichyl diphosphate synthase subunit		landmark		
P4HA2	prolyl 4-hydroxylase subunit alpha 2		landmark		
BPHL	biphenyl hydrolase like		landmark		
BRCA1	BRCA1, DNA repair associated	Ring finger proteins, Fanconi anemia complementation groups, Protein phosphatase 1 regulatory subunits, BRCA1 A complex, BRCA1 B complex, BRCA1 C complex	landmark		
NUDT9	nudix hydrolase 9	Nudix hydrolase family	landmark		
SATB1	SATB homeobox 1	CUT class homeoboxes and pseudogenes	landmark		
PLOD3	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3		landmark		
P4HTM	prolyl 4-hydroxylase, transmembrane		landmark		
DENND2D	DENN domain containing 2D	DENN/MADD domain containing	landmark		
NOL3	nucleolar protein 3	Caspase recruitment domain containing	landmark		
BTK	Bruton tyrosine kinase	Pleckstrin homology domain containing, SH2 domain containing	landmark		
SCP2	sterol carrier protein 2		landmark		
CCL2	C-C motif chemokine ligand 2	Chemokine ligands, Endogenous ligands	landmark		
OXA1L	OXA1L, mitochondrial inner membrane protein		landmark		
OXCT1	3-oxoacid CoA-transferase 1		landmark		
ZNF131	zinc finger protein 131	Zinc fingers C2H2-type, BTB domain containing	landmark		
PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	WD repeat domain containing	landmark		
SERPINE1	serpin family E member 1	Serpin peptidase inhibitors	landmark		
PAK1	p21 (RAC1) activated kinase 1		landmark		
PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3		landmark		
SDHB	succinate dehydrogenase complex iron sulfur subunit B	Mitochondrial complex II: succinate dehydrogenase subunits	landmark		
PCCB	propionyl-CoA carboxylase beta subunit		landmark		
PCBD1	pterin-4 alpha-carbinolamine dehydratase 1		landmark		
NUP85	nucleoporin 85	Nucleoporins	landmark		
PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component	Paf1/RNA polymerase II complex	landmark		
KLHL9	kelch like family member 9	Kelch like, BTB domain containing	landmark		
BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B		landmark		
C5	complement C5	Complement system, Endogenous ligands, C3 and PZP like, alpha-2-macroglobulin domain containing	landmark		
ZMYM2	zinc finger MYM-type containing 2	Zinc fingers MYM-type	landmark		
DDR1	discoidin domain receptor tyrosine kinase 1	Receptor Tyrosine Kinases, CD molecules	landmark		
PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	Seven-beta-strand methyltransferase motif containing	landmark		
PCNA	proliferating cell nuclear antigen		landmark		
SGCB	sarcoglycan beta		landmark		
PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial		landmark		
PCM1	pericentriolar material 1		landmark		
SHB	SH2 domain containing adaptor protein B	SH2 domain containing	landmark		
SHC1	SHC adaptor protein 1	SH2 domain containing	landmark		
PDGFA	platelet derived growth factor subunit A		landmark		
SKIV2L	Ski2 like RNA helicase	RNA helicases	landmark		
SLC35F2	solute carrier family 35 member F2	Solute carriers	landmark		
ATP5S	ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)		landmark		
PACSIN3	protein kinase C and casein kinase substrate in neurons 3	F-BAR domain containing	landmark		
CALM3	calmodulin 3	Endogenous ligands, EF-hand domain containing	landmark		
CALU	calumenin	EF-hand domain containing	landmark		
CAPN1	calpain 1	EF-hand domain containing, Calpains	landmark		
CAST	calpastatin		landmark		
CASP2	caspase 2	Caspases, Protein phosphatase 1 regulatory subunits, Caspase recruitment domain containing	landmark		
CASP3	caspase 3	Caspases	landmark		
CASP7	caspase 7	Caspases	landmark		
CASP10	caspase 10	Caspases, Death effector domain containing, Death inducing signaling complex 	landmark		
CAT	catalase		landmark		
SKP1	S-phase kinase associated protein 1	SCF complex	landmark		
CBLB	Cbl proto-oncogene B	Ring finger proteins	landmark		
SLC1A4	solute carrier family 1 member 4	Solute carriers	landmark		
CBR1	carbonyl reductase 1	Short chain dehydrogenase/reductase superfamily	landmark		
CBR3	carbonyl reductase 3	Short chain dehydrogenase/reductase superfamily	landmark		
CXCR4	C-X-C motif chemokine receptor 4	CD molecules, C-X-C motif chemokine receptors	landmark		
TEX10	testis expressed 10	5FMC ribosome biogenesis complex	landmark		
PAX8	paired box 8	PRD class homeoboxes and pseudogenes, Paired boxes	landmark		
CCNA2	cyclin A2	Cyclins	landmark		
CCNB1	cyclin B1	Cyclins	landmark		
CCND3	cyclin D3	Cyclins	landmark		
CCNF	cyclin F	Cyclins, F-boxes other	landmark		
PFKL	phosphofructokinase, liver type		landmark		
USP7	ubiquitin specific peptidase 7	Ubiquitin specific peptidases	landmark		
IFRD2	interferon related developmental regulator 2		landmark		
MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	Mitogen-activated protein kinase-activated protein kinases	landmark		
PGAM1	phosphoglycerate mutase 1	Bisphosphoglycerate phosphatases	landmark		
PGM1	phosphoglucomutase 1		landmark		
PHKA1	phosphorylase kinase regulatory subunit alpha 1		landmark		
PHKB	phosphorylase kinase regulatory subunit beta		landmark		
PHKG2	phosphorylase kinase catalytic subunit gamma 2		landmark		
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4		landmark		
SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	Myb/SANT domain containing	landmark		
ZNF586	zinc finger protein 586	Zinc fingers C2H2-type	landmark		
PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	Phosphatidylinositol 3-kinase subunits	landmark		
PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3	Phosphatidylinositol 3-kinase subunits	landmark		
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	Phosphatidylinositol 3-kinase subunits	landmark		
FBXL12	F-box and leucine rich repeat protein 12	F-box and leucine rich repeat proteins	landmark		
TNFRSF21	TNF receptor superfamily member 21	CD molecules, Tumor necrosis factor receptor superfamily	landmark		
SESN1	sestrin 1		landmark		
RBM15B	RNA binding motif protein 15B	RNA binding motif containing	landmark		
PIK3R4	phosphoinositide-3-kinase regulatory subunit 4	WD repeat domain containing	landmark		
CCNH	cyclin H	Cyclins	landmark		
DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2		landmark		
SCCPDH	saccharopine dehydrogenase (putative)		landmark		
SCARB1	scavenger receptor class B member 1	Scavenger receptors	landmark		
REEP5	receptor accessory protein 5	Receptor accessory proteins	landmark		
CD40	CD40 molecule	CD molecules, Tumor necrosis factor receptor superfamily	landmark		
CD44	CD44 molecule (Indian blood group)	Blood group antigens, CD molecules, Proteoglycans	landmark		
CD58	CD58 molecule	CD molecules	landmark		
SENP6	SUMO1/sentrin specific peptidase 6	SUMO specific peptidases	landmark		
ADGRE5	adhesion G protein-coupled receptor E5	CD molecules, Adhesion G protein-coupled receptors, subfamily E	landmark		
SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2		landmark		
RAI14	retinoic acid induced 14	Ankyrin repeat domain containing	landmark		
CDK1	cyclin dependent kinase 1	Cyclin dependent kinases	landmark		
SNAP25	synaptosome associated protein 25	SNAREs	landmark		
PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	Parvulins	landmark		
CDC20	cell division cycle 20	WD repeat domain containing	landmark		
CDC25A	cell division cycle 25A	Class III Cys-based CDC25 phosphatases	landmark		
CDC25B	cell division cycle 25B	Class III Cys-based CDC25 phosphatases	landmark		
MTERF3	mitochondrial transcription termination factor 3		landmark		
CDC42	cell division cycle 42	Rho family GTPases	landmark		
AMDHD2	amidohydrolase domain containing 2		landmark		
SNCA	synuclein alpha	Parkinson disease associated genes	landmark		
ISOC1	isochorismatase domain containing 1		landmark		
PLA2G4A	phospholipase A2 group IVA	Phospholipases, C2 domain containing phospholipases	landmark		
ST7	suppression of tumorigenicity 7		landmark		
MRPS16	mitochondrial ribosomal protein S16	Mitochondrial ribosomal proteins	landmark		
FIS1	fission, mitochondrial 1	Tetratricopeptide repeat domain containing	landmark		
GOLT1B	golgi transport 1B		landmark		
COG7	component of oligomeric golgi complex 7	Components of oligomeric golgi complex	landmark		
PLCB3	phospholipase C beta 3	Phospholipases, C2 domain containing phospholipases	landmark		
KAT6A	lysine acetyltransferase 6A	Zinc fingers C2HC-type, PHD finger proteins, Lysine acetyltransferases	landmark		
GLOD4	glyoxalase domain containing 4		landmark		
SOX2	SRY-box 2	SRY-boxes	landmark		
SOX4	SRY-box 4	SRY-boxes	landmark		
SPAG4	sperm associated antigen 4		landmark		
PLP2	proteolipid protein 2		landmark		
GMNN	geminin, DNA replication inhibitor		landmark		
LAP3	leucine aminopeptidase 3	Aminopeptidases	landmark		
LOXL1	lysyl oxidase like 1		landmark		
PLK1	polo like kinase 1		landmark		
SPP1	secreted phosphoprotein 1	Endogenous ligands, SIBLING family	landmark		
PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	BCL2 homology region 3 (BH3) only	landmark		
SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)	Short chain dehydrogenase/reductase superfamily	landmark		
PLS1	plastin 1	EF-hand domain containing	landmark		
PLSCR1	phospholipid scramblase 1	Phospholipid scramblases	landmark		
PMM2	phosphomannomutase 2	HAD Asp-based non-protein phosphatases	landmark		
LRPAP1	LDL receptor related protein associated protein 1		landmark		
NOSIP	nitric oxide synthase interacting protein		landmark		
DERA	deoxyribose-phosphate aldolase		landmark		
YTHDF1	YTH N6-methyladenosine RNA binding protein 1		landmark		
LYN	LYN proto-oncogene, Src family tyrosine kinase	SH2 domain containing, Src family tyrosine kinases	landmark		
TIMM22	translocase of inner mitochondrial membrane 22	TIM22 complex	landmark		
SMAD3	SMAD family member 3	SMAD family	landmark		
NENF	neudesin neurotrophic factor	Membrane associated progesterone receptor family	landmark		
TXNL4B	thioredoxin like 4B		landmark		
HOOK2	hook microtubule tethering protein 2		landmark		
SNX11	sorting nexin 11	Sorting nexins	landmark		
ZNF451	zinc finger protein 451	Zinc fingers C2H2-type	landmark		
TMEM97	transmembrane protein 97		landmark		
LRP10	LDL receptor related protein 10	Low density lipoprotein receptors	landmark		
HTATSF1	HIV-1 Tat specific factor 1	RNA binding motif containing	landmark		
RNF167	ring finger protein 167	Ring finger proteins	landmark		
UBQLN2	ubiquilin 2	Ubiquilin family	landmark		
SPTAN1	spectrin alpha, non-erythrocytic 1	EF-hand domain containing, Spectrins	landmark		
SRC	SRC proto-oncogene, non-receptor tyrosine kinase	SH2 domain containing, Src family tyrosine kinases	landmark		
POLB	DNA polymerase beta	DNA polymerases	landmark		
POLE2	DNA polymerase epsilon 2, accessory subunit	DNA polymerases	landmark		
POLR2K	RNA polymerase II subunit K	RNA polymerase subunits	landmark		
STAT1	signal transducer and activator of transcription 1	SH2 domain containing	landmark		
STAT3	signal transducer and activator of transcription 3	SH2 domain containing	landmark		
POLR2I	RNA polymerase II subunit I	RNA polymerase subunits	landmark		
STAT5B	signal transducer and activator of transcription 5B	SH2 domain containing	landmark		
AURKA	aurora kinase A	Protein phosphatase 1 regulatory subunits	landmark		
STK10	serine/threonine kinase 10		landmark		
VPS28	VPS28, ESCRT-I subunit	ESCRT-I	landmark		
MAN2B1	mannosidase alpha class 2B member 1	Mannosidases alpha class 2	landmark		
MAT2A	methionine adenosyltransferase 2A		landmark		
HSD17B11	hydroxysteroid 17-beta dehydrogenase 11	Short chain dehydrogenase/reductase superfamily	landmark		
PPARD	peroxisome proliferator activated receptor delta	Nuclear hormone receptors	landmark		
PPARG	peroxisome proliferator activated receptor gamma	Nuclear hormone receptors	landmark		
MBNL1	muscleblind like splicing regulator 1	Zinc fingers CCCH-type	landmark		
PPIC	peptidylprolyl isomerase C	Cyclophilin peptidylprolyl isomerases	landmark		
PPOX	protoporphyrinogen oxidase		landmark		
MCM3	minichromosome maintenance complex component 3	MCM family	landmark		
ATG3	autophagy related 3	Autophagy related	landmark		
ZDHHC6	zinc finger DHHC-type containing 6	Zinc fingers DHHC-type	landmark		
NARFL	nuclear prelamin A recognition factor like	Cytosolic iron-sulfur assembly components	landmark		
MRPS2	mitochondrial ribosomal protein S2	Mitochondrial ribosomal proteins	landmark		
TES	testin LIM domain protein	LIM domain containing	landmark		
KIF1BP	KIF1 binding protein	Tetratricopeptide repeat domain containing	landmark		
STX1A	syntaxin 1A	Syntaxins	landmark		
STX4	syntaxin 4	Syntaxins	landmark		
STXBP1	syntaxin binding protein 1		landmark		
STXBP2	syntaxin binding protein 2		landmark		
SUV39H1	suppressor of variegation 3-9 homolog 1	Lysine methyltransferases, SET domain containing	landmark		
SUPV3L1	Suv3 like RNA helicase	RNA helicases	landmark		
